DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser$Nested$SubNested$SubSubNested),<init>,MethodDescriptor((type_annotations.RITypeAnnotationUser$Nested$SubNested): void),type_annotations.RITypeAnnotationUser$Nested$SubNested$SubSubNested{ public void <init>(type_annotations.RITypeAnnotationUser$Nested$SubNested) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser$Nested$SubNested),<init>,MethodDescriptor((type_annotations.RITypeAnnotationUser$Nested): void),type_annotations.RITypeAnnotationUser$Nested$SubNested{ public void <init>(type_annotations.RITypeAnnotationUser$Nested) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser$Nested),<init>,MethodDescriptor((type_annotations.RITypeAnnotationUser): void),type_annotations.RITypeAnnotationUser$Nested{ public void <init>(type_annotations.RITypeAnnotationUser) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),<init>,MethodDescriptor((): void),type_annotations.RITypeAnnotationUser{ public void <init>() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),arrayRelatedTypeAnnotation,MethodDescriptor((): void),type_annotations.RITypeAnnotationUser{ public void arrayRelatedTypeAnnotation() }) => SideEffectFree
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),doArray,MethodDescriptor((java.io.File[]): java.lang.String),type_annotations.RITypeAnnotationUser{ public java.lang.String doArray(java.io.File[]) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),doIt,MethodDescriptor((java.io.File): java.lang.String),type_annotations.RITypeAnnotationUser{ public java.lang.String doIt(java.io.File) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),instanceCreationRelatedTypeAnnotation,MethodDescriptor((): java.util.function.Supplier),type_annotations.RITypeAnnotationUser{ public java.util.function.Supplier instanceCreationRelatedTypeAnnotation() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),localVariableDeclarationTypeAnnotations,MethodDescriptor((): java.lang.Object),type_annotations.RITypeAnnotationUser{ public java.lang.Object localVariableDeclarationTypeAnnotations() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),methodCallRelatedTypeAnnotation,MethodDescriptor((): java.util.function.Supplier),type_annotations.RITypeAnnotationUser{ public java.util.function.Supplier methodCallRelatedTypeAnnotation() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),methodSignatureRelatedTypeAnnotations,MethodDescriptor((): java.util.function.Function),type_annotations.RITypeAnnotationUser{ public java.util.function.Function methodSignatureRelatedTypeAnnotations() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),onNestedTypeAnnotations,MethodDescriptor((): java.lang.Object),type_annotations.RITypeAnnotationUser{ public java.lang.Object onNestedTypeAnnotations() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),process,MethodDescriptor((java.lang.Object): java.lang.Object),type_annotations.RITypeAnnotationUser{ private static java.lang.Object process(java.lang.Object) }) => SideEffectFree
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),typeCheckRelatedTypeAnnotations,MethodDescriptor((java.io.Serializable): void),type_annotations.RITypeAnnotationUser{ public void typeCheckRelatedTypeAnnotations(java.io.Serializable) }) => DSideEffectFree
DefinedMethod(ObjectType(type_annotations/RITypeAnnotationUser),wildcardsRelatedTypeAnnotation,MethodDescriptor((): void),type_annotations.RITypeAnnotationUser{ public void wildcardsRelatedTypeAnnotation() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser$Nested$SubNested$SubSubNested),<init>,MethodDescriptor((type_annotations.RVTypeAnnotationUser$Nested$SubNested): void),type_annotations.RVTypeAnnotationUser$Nested$SubNested$SubSubNested{ public void <init>(type_annotations.RVTypeAnnotationUser$Nested$SubNested) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser$Nested$SubNested),<init>,MethodDescriptor((type_annotations.RVTypeAnnotationUser$Nested): void),type_annotations.RVTypeAnnotationUser$Nested$SubNested{ public void <init>(type_annotations.RVTypeAnnotationUser$Nested) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser$Nested),<init>,MethodDescriptor((type_annotations.RVTypeAnnotationUser): void),type_annotations.RVTypeAnnotationUser$Nested{ public void <init>(type_annotations.RVTypeAnnotationUser) }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),<init>,MethodDescriptor((): void),type_annotations.RVTypeAnnotationUser{ public void <init>() }) => ImpureByAnalysis
DefinedMethod(ObjectType(type_annotations/RVTypeAnnotationUser),arrayRelatedTypeAnnotation,MethodDescriptor((): void),type_annotations.RVTypeAnnotationUser{ public void arrayRelatedTypeAnnotation() }) => SideEffectFree
